elevation_m,drainage_density_km_per_km2,storm_drain_proximity_m,historical_rainfall_intensity_mm_hr,return_period_years,G1_infra_vuln,G2_rain_x_return,G3_soil_x_rainfall,G4_is_very_low_elev,soil_group,land_use_Commercial,land_use_Green,land_use_Industrial,land_use_Informal,land_use_Institutional,land_use_Mixed,land_use_Residential,land_use_Roads,land_use_Water,storm_drain_type_CurbInlet,storm_drain_type_GratedInlet,storm_drain_type_Manhole,storm_drain_type_OpenChannel,storm_drain_type_Unknown,rainfall_source_Blended,rainfall_source_ERA5,rainfall_source_IMD,rainfall_source_LocalGauge,rainfall_source_Unknown,dem_source_Copernicus_EEA-10_v5,dem_source_Copernicus_GLO-30_v2023,dem_source_Copernicus_GLO-90_v2022,dem_source_SRTM_1arc,dem_source_SRTM_3arc,risk_class,risk_class_encoded,latitude,longitude
0.06449714828371218,0.5750000000000002,0.4204508517980328,-0.837699183494623,0.0,0.1524041923221329,-0.19911583662243515,-0.8390896363450702,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,0,38.853632,-77.017289
0.09159781020389841,-0.5678571428571428,-0.3491350796997607,0.2969043143840013,-0.4591860163854643,-0.0949486995462633,-0.11014128758315277,0.21597353471525238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Low,0,21.06506,105.831464
-0.28560253749743514,0.0,1.2651136963919296,0.8681305749274614,-0.4591860163854643,0.9375138754598872,0.09057026574696145,-0.007765805147543956,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,0,22.6338,113.957179
-0.7701066054257145,0.02142857142857161,-0.5269727379121387,0.09498061910108614,-1.0793610708253432,-0.4908625316437747,-0.6432642947973127,-0.44016370925983056,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,1,41.393959,2.143102
-0.5453198314563676,1.1678571428571427,0.24082255254766766,-0.6478326476516051,1.1853331751364087,-0.13340009268207467,0.8336606031393398,-0.7671066191891818,0.0,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,0,31.350399,121.515148
-0.8333402199993785,0.7428571428571429,1.1765360894566563,0.18951662404743952,0.0,0.6303686873673013,0.16779939379693448,-1.683317201209621,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1,23.148759,113.251212
0.4079863991271253,-0.29285714285714265,0.7105529960135589,0.16575739993752986,0.8886951215436424,0.6757557540487741,0.8106341115382741,0.12509530631715096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,0,37.646547,127.056846
-0.49669253000146096,-0.5678571428571428,0.3202991677579886,-0.7334692291916516,-1.0793610708253432,0.502249554340883,-0.9915681297495008,-0.40785443477372674,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,0,18.58017,73.955841
-0.16743373167508252,0.0,1.1379596323866983,-0.419761420930546,0.0,0.8536528157761689,-0.04490852757709227,0.3486501661295017,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,0,55.632304,12.618777
-0.597060121521875,0.16071428571428578,-0.7929580204506953,0.4649645726104083,0.0,-0.7960852766159326,0.25977121997794544,0.7683639958944117,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,0,25.754888,-80.144672
0.0,0.15,0.8764861248463107,0.36050732322062173,1.1853331751364087,0.618932094628698,1.1079668165976744,1.0189327584912702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,High,2,-27.576618,152.984225
